"","x"
"ASPN_B",1
"ASPRV1_B",3
"ASPSCR1_B",3
"ASRGL1_B",3
"ASS1_B",3
"ASTE1_B",3
"ASTL_B",3
"ASTN1_B",3
"ASTN2-AS1_B",1
"ASTN2_B",3
"ASXL1_B",3
"ASXL2_B",1
"ASXL3_B",1
"ASZ1_B",3
"ATAD1_B",1
"ATAD2B_B",3
"ATAD2_B",1
"ATAD3A_B",3
"ATAD3B_B",3
"ATAD3C_B",1
"ATAD5_B",1
"ATAT1_B",3
"ATCAY_B",3
"ATE1-AS1_B",3
"ATE1_B",1
"ATF1_B",1
"ATF2_B",3
"ATF3_B",1
"ATF4_B",2
"ATF5_B",3
"ATF6B_B",3
"ATF6_B",2
"ATF7IP2_B",1
"ATF7IP_B",1
"ATF7_B",3
"ATG101_B",3
"ATG10_B",1
"ATG12_B",3
"ATG13_B",1
"ATG14_B",1
"ATG16L1_B",3
"ATG16L2_B",3
"ATG2A_B",3
"ATG2B_B",3
"ATG3_B",3
